id_meat_import,meat,description,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1,1,1,2019,9626164,6129971,6415692,5462598,10214924,5466876,5143602,5698891,7456049,9160050,7532339,5665881
2,1,1,2020,5336023,8038937,7409824,8617087,11472447,8777955,13191108,10990027,11762559,14930555,6525841,8910301
3,1,2,2019,486236,877869,978784,1092956,2007914,666748,1102594,1184240,1178221,1828516,1131578,746048
4,1,2,2020,1204998,1797140,2071819,2553349,2816356,2493843,4878094,3584401,3147876,4399153,1109161,1808493
5,1,3,2019,1527018,1318136,2631089,1972444,2064512,2152861,2130565,2540114,1607778,1936599,2424584,1405617
6,1,3,2020,1591072,1200048,2053000,2389956,3247500,3497553,5104000,3261512,3512060,3334800,3338500,2343000
7,1,4,2019,1457298,1334210,1963708,1549505,1634327,1051240,1492467,1476111,867342,794482,1051441,777144
8,1,4,2020,604546,502287,886420,1395762,1777579,1061631,1815600,1330451,1625299,2049680,1271775,1365020
9,2,7,2020,0,6000,0,3000,0,0,28000,0,3000,37000,90000,28000
10,2,6,2019,2697460,2407485,2350368,3219376,2690640,1623777,1903848,1399904,1262744,1508984,1876800,2099872
11,2,6,2020,2379728,3357000,2800000,1832000,1008000,434000,1233000,2884000,4709500,6158500,1562000,1260000
12,2,18,2019,0,0,0,0,0,0,0,28000,0,0,0,0
13,2,19,2019,0,0,0,0,0,0,27976,0,27976,2976,0,0
14,2,5,2019,419920,672882,643984,729364,503952,500398,560000,335968,475968,447968,559936,532000
15,2,5,2020,196000,364000,589000,266000,112000,98000,196000,364000,868000,1204500,283000,253000
16,13,8,2019,2026082,2571626,1946804,1258743,1732869,1645179,1593415,2185768,2702195,3908360,3694167,4479618
17,13,9,2019,11745445,7663606,6235951,2353156,2952530,2614336,4397059,4817399,6373725,7419455,11548571,12429764
18,13,10,2019,15979903,12318764,18620937,13517252,14232813,21268054,19240066,20511888,18804404,25889344,20380554,18297887
19,13,3,2019,264600,291620,439800,397600,319800,398000,649504,269160,529600,556832,372800,132000
20,13,4,2019,55500,190667,297884,94153,159846,135000,81000,121436,131010,389690,134010,286791
21,13,11,2019,171950,79400,163710,27000,391160,573829,930400,678450,354692,41691,259431,358990
22,13,8,2020,4470796,4482551,4945702,4739659,4245626,2540726,2491643,1908605,1959510,3118106,1612543,1924315
23,13,9,2020,12146396,13955262,7944986,4351968,5047101,3194791,1683995,968475,5210431,12516015,6547265,6327686
24,13,10,2020,24948143,19920938,18567032,21444395,23605396,19228895,32367149,21560205,26566491,27487460,17994873,20123932
25,13,3,2020,427680,81030,275550,270000,459000,436200,1151400,777600,642600,887400,0,0
26,13,4,2020,293162,284000,200000,138000,146000,345000,125500,410000,270000,702375,296000,259000
27,13,11,2020,183604,81500,82800,0,50500,210500,99200,84000,95000,109000,28000,25000
28,13,12,2020,175968,229438,140000,0,0,0,19000,0,60000,0,0,0
29,14,20,2019,24335,7360,0,2000,22966,0,0,0,2912,0,405,25175
30,14,4,2019,0,85,0,1541,0,0,32,0,2500,0,0,0
31,14,4,2021,1700,0,0,0,0,0,0,0,0,0,0,0
32,14,21,2019,0,0,0,0,0,0,25454,0,0,0,0,0
33,12,3,2020,0,0,525,0,0,0,0,0,0,0,0,0
34,12,13,2019,37318,38742,109496,48024,56031,26891,135617,89707,121571,109641,48991,104251
35,12,13,2020,55398,188000,62375,153260,382000,467200,249500,21300,60000,30000,199000,40600
36,12,4,2020,0,0,1500,0,0,200,0,0,1200,0,0,0
37,12,4,2021,0,0,71,0,0,0,0,0,0,0,0,0
38,6,16,2019,4148210,2442230,3293542,3049767,3567693,2459141,3023343,2325292,3372863,3771290,3354043,2944768
39,6,16,2020,1776763,1279999,1442287,2413503,3322600,2771780,2718054,2549850,4325131,6169209,4389930,2392315
40,6,10,2019,0,0,0,0,0,0,0,1000,0,0,0,0
41,6,10,2020,0,0,0,0,0,0,0,0,25000,0,0,25000
42,6,3,2019,6055762,4480852,5653064,6245893,5422292,4437774,4968189,3954646,5164702,5832613,5421699,3848628
43,6,3,2020,3608047,2480416,2483988,3016176,4233434,1624719,2799649,3854000,6177180,6353000,4261669,3457400
44,6,4,2019,13917246,13539841,16643317,13467548,14826199,11189401,13400551,10888869,12119188,12774706,10553275,6737880
45,6,4,2020,7312568,5645393,6552220,8802959,10736348,4700368,4025448,5960669,10865374,12455614,8749513,9972006
46,6,17,2019,4181413,3074311,3843177,2868456,4008610,5171832,5617312,4931318,5939463,8309943,7104111,3623260
47,6,17,2020,2831721,2048694,1339577,2403421,4104147,3145334,6853201,4564490,6988100,9773886,6043219,6795490
48,6,11,2019,1899535,1637184,3798532,1916131,2316593,2315619,2675353,1799153,2400988,2656607,3064663,1308748
49,6,11,2020,2294109,1431600,1515900,1979650,2464040,983500,1584000,1476650,2628650,2643000,2160500,2235000
50,6,22,2019,26762,0,0,0,500,0,0,0,0,0,0,0
51,16,10,2020,78000,112000,111000,56000,108000,56000,28000,0,28000,28000,28000,0
52,16,4,2020,0,0,0,2400,0,0,0,0,0,0,0,0
53,16,4,2021,0,0,0,0,3000,0,0,0,0,0,0,0
54,16,14,2020,0,4000,0,36068,0,0,12000,34000,30000,54000,14000,0
55,16,15,2020,0,45000,31600,30200,0,5000,0,0,0,48700,0,0
56,16,15,2021,2550,0,0,0,0,0,0,0,0,0,0,0
