id,date_issued,permit_number,category,island,origin,number_requested,requested_male,requested_female,port_of_discharge,date_of_arrival,arrival_month,acctual_arrival,number,male,female,year_permit_issued,flf,flm,mlf,breed,validity,ps_male,ps_female,gp_male,gp_female,mlm,requested_flf,requested_flm,requested_mlf,requested_mlm
1,24/11/2017,icdabaiq11018161010,"Hatching Eggs",Mindanao,Belgium,100080,100080,0,NAIA,20/01/2018,January,100080,Terminal-Broiler,100080,0,2018,0,0,0,Ross,,0,0,0,0,0,0,0,0,0
2,11/12/2017,icdabaiq11017161041,"Day-Old Chicks",Mindanao,Netherlands,1610,1610,0,NAIA,04/01/2018,January,1610,PS,0,0,2017,0,0,0,Cobb,,1610,0,0,0,0,0,0,0,0
3,11/12/2017,icdabaiq11017161039,"Day-Old Chicks",Mindanao,Netherlands,30170,10920,19250,NAIA,05/01/2018,January,30170,GP,0,0,2017,14910,6580,4340,Cobb,,0,0,10920,19250,4340,14910,6580,4340,4340
4,15/12/2017,icdabaiq11017161043,"Day-Old Chicks",Mindanao,Netherlands,7700,2800,4900,NAIA,23/01/2018,January,7700,GP,0,0,2017,3780,1680,1120,Cobb,,0,0,2800,4900,1120,3780,1680,1120,1120
5,29/12/2017,icdabaiq11017161079,"Day-Old Chicks",Mindanao,France,5824,624,5200,NAIA,21/01/2018,January,5824,PS-Layer,624,5200,2017,0,0,0,Hisex,,0,0,0,0,0,0,0,0,0
6,11/01/2018,icdabaiq11018161099,"Day-Old Chicks",Mindanao,Netherlands,14352,1872,12480,NAIA,03/02/2018,February,14352,PS,0,0,2018,0,0,0,"Indian River Meat",,1872,12480,0,0,0,0,0,0,0
7,12/01/2018,icdabaiq11018161102,"Day-Old Chicks",Mindanao,Netherlands,7956,1212,6744,NAIA,10/02/2018,February,7956,PS-Layer,1212,6744,2018,0,0,0,"Shaver White",,0,0,0,0,0,0,0,0,0
8,17/01/2018,icdabaiq11018161113,"Hatching Eggs",Mindanao,Belgium,100080,100080,0,NAIA,02/02/2018,February,100080,Terminal-Broiler,100080,0,2018,0,0,0,,,0,0,0,0,0,0,0,0,0
9,17/01/2018,icdabaiq11018161112,"Hatching Eggs",Mindanao,Belgium,100080,100080,0,NAIA,31/01/2018,January,100080,Terminal-Broiler,100080,0,2018,0,0,0,Ross,,0,0,0,0,0,0,0,0,0
10,17/01/2018,icdabaiq11018161111,"Hatching Eggs",Mindanao,Belgium,100080,100080,0,NAIA,29/01/2018,January,100080,Terminal-Broiler,100080,0,2017,0,0,0,Ross,,0,0,0,0,0,0,0,0,0
11,22/01/2018,icdabaiq11018161119,"Day-Old Chicks",Mindanao,U.S.A.,15548,2028,13520,NAIA,09/02/2018,February,15548,PS,0,0,2018,0,0,0,"Indian River Meat",,2028,13520,0,0,0,0,0,0,0
