MEAT,Description,Year,Net Wight,Month
Beef,Beef Cuts,2019,9626164,January
Beef,Choice Cuts,2019,486236,January
Beef,Fats,2019,1527018,January
Beef,Offals,2019,1457298,January
Beef,Beef Cuts,2020,5336023,January
Beef,Choice Cuts,2020,1204998,January
Beef,Fats,2020,1591072,January
Beef,Offals,2020,604546,January
Beef,Beef Cuts,2021,5585691,January
Beef,Choice Cuts,2021,486866,January
Beef,Fats,2021,2117058,January
Beef,Offals,2021,1321403,January
Buffalo,Forequarter,2019,2697460,January
Buffalo,Trimmings,2019,419920,January
Buffalo,Rumpsteak,2019,0,January
Buffalo,Knuckles,2019,0,January
Buffalo,Trimmings,2020,196000,January
Buffalo,Forequarters,2020,2379728,January
Buffalo,Buffalo Meat,2020,0,January
Buffalo,Buffalo Meat,2021,29000,January
Buffalo,Forequarter,2021,3559660,January
Buffalo,Trimmings,2021,545882,January
Chicken,Chicken Cuts,2019,2026082,January
Chicken,Chicken Leg Quarter,2019,11745445,January
Chicken,Whole Chicken,2019,44395,January
Chicken,Deboned,2019,15979903,January
Chicken,Fats,2019,264600,January
Chicken,Rind/Skin,2019,171950,January
Chicken,Offals,2019,55500,January
Chicken,Chicken Cuts,2021,1172269,January
Chicken,Chicken Leg Quarter,2021,4205267,January
Chicken,Deboned,2021,7434832,January
Chicken,Fats,2021,0,January
Chicken,Offals,2021,223668,January
Chicken,Rind/Skin,2021,54028,January
Chicken ,Chicken Cuts,2020,4470796,January
Chicken ,Chicken Leg Quarters,2020,12146396,January
Chicken ,Deboned,2020,24948143,January
Chicken ,Fats,2020,427680,January
Chicken ,Offals,2020,293162,January
Chicken ,Rind/Skin,2020,183604,January
Chicken ,Whole Chicken,2020,175968,January
Duck,Duck Meat,2019,24335,January
Duck,Offals,2019,0,January
Duck,Whole Duck,2019,0,January
Duck,Duck Meat,2021,24800,January
Duck,Offals,2021,1700,January
Lamb,Lamb Meat,2019,37318,January
Lamb,Fats,2020,0,January
Lamb,Lamb Meat,2020,55398,January
Lamb,Offals,2020,0,January
Lamb,Lamb Meat,2021,14500,January
Lamb,Offals,2021,0,January
Pork,Bellies,2019,4148210,January
Pork,Pork Cuts,2019,4181412,January
Pork,Deboned,2019,0,January
Pork,Fats,2019,6055762,January
Pork,Rind/Skin,2019,1899535,January
Pork,Offals,2019,13917246,January
Pork,Whole Pork,2019,26762,January
Pork,Bellies,2020,1776763,January
Pork,Pork Cuts,2020,2831721,January
Pork,Deboned,2020,0,January
Pork,Fats,2020,3608047,January
Pork,Offals,2020,7312568,January
Pork,Rind/Skin,2020,2294109,January
Pork,Bellies,2021,2963874,January
Pork,Deboned,2021,0,January
Pork,Fats,2021,3376257,January
Pork,Offals,2021,11015613,January
Pork,Pork Cuts,2021,6218642,January
Pork,Rind/Skin,2021,2373198,January
Pork,Whole Pork,2021,0,January
Turkey,Deboned,2020,78000,January
Turkey,Offals,2020,0,January
Turkey,Turkey Meat,2020,0,January
Turkey,Whole Turkey,2020,0,January
Turkey,Deboned,2021,26806,January
Turkey,Offals,2021,0,January
Turkey,Rind/Skin,2021,20713,January
Turkey,Turkey Meat,2021,0,January
Turkey,Whole Turkey,2021,2550,January
Beef,Beef Cuts,2019,6129971,Febuary
Beef,Choice Cuts,2019,877869,Febuary
Beef,Fats,2019,1318136,Febuary
Beef,Offals,2019,1334210,Febuary
Beef,Beef Cuts,2020,8038937,Febuary
Beef,Choice Cuts,2020,1797140,Febuary
Beef,Fats,2020,1200048,Febuary
Beef,Offals,2020,502287,Febuary
Beef,Beef Cuts,2021,6391097,Febuary
Beef,Choice Cuts,2021,454726,Febuary
Beef,Fats,2021,1537607,Febuary
Beef,Offals,2021,1674200,Febuary
Buffalo,Forequarter,2019,2407485,Febuary
Buffalo,Trimmings,2019,672882,Febuary
Buffalo,Rumpsteak,2019,0,Febuary
Buffalo,Knuckles,2019,0,Febuary
Buffalo,Trimmings,2020,364000,Febuary
Buffalo,Forequarters,2020,3357000,Febuary
Buffalo,Buffalo Meat,2020,6000,Febuary
Buffalo,Buffalo Meat,2021,,Febuary
Buffalo,Forequarter,2021,1382236,Febuary
Buffalo,Trimmings,2021,372800,Febuary
Chicken,Chicken Cuts,2019,2571626,Febuary
Chicken,Chicken Leg Quarter,2019,7663606,Febuary
Chicken,Whole Chicken,2019,,Febuary
Chicken,Deboned,2019,12318764,Febuary
Chicken,Fats,2019,291620,Febuary
Chicken,Rind/Skin,2019,79400,Febuary
Chicken,Offals,2019,190667,Febuary
Chicken,Chicken Cuts,2021,1594819,Febuary
Chicken,Chicken Leg Quarter,2021,6220454,Febuary
Chicken,Deboned,2021,9822059,Febuary
Chicken,Fats,2021,55681,Febuary
Chicken,Offals,2021,85974,Febuary
Chicken,Rind/Skin,2021,275007,Febuary
Chicken ,Chicken Cuts,2020,4482551,Febuary
Chicken ,Chicken Leg Quarters,2020,13955262,Febuary
Chicken ,Deboned,2020,19920938,Febuary
Chicken ,Fats,2020,81030,Febuary
Chicken ,Offals,2020,284000,Febuary
Chicken ,Rind/Skin,2020,81500,Febuary
Chicken ,Whole Chicken,2020,229438,Febuary
Duck,Duck Meat,2019,7360,Febuary
Duck,Offals,2019,85,Febuary
Duck,Whole Duck,2019,0,Febuary
Duck,Duck Meat,2021,0,Febuary
Duck,Offals,2021,0,Febuary
Lamb,Lamb Meat,2019,38742,Febuary
Lamb,Fats,2020,0,Febuary
Lamb,Lamb Meat,2020,188000,Febuary
Lamb,Offals,2020,0,Febuary
Lamb,Lamb Meat,2021,20060,Febuary
Lamb,Offals,2021,0,Febuary
Pork,Bellies,2019,2442230,Febuary
Pork,Pork Cuts,2019,3074311,Febuary
Pork,Deboned,2019,0,Febuary
Pork,Fats,2019,4480852,Febuary
Pork,Rind/Skin,2019,1637184,Febuary
Pork,Offals,2019,13539841,Febuary
Pork,Whole Pork,2019,0,Febuary
Pork,Bellies,2020,1279999,Febuary
Pork,Pork Cuts,2020,2048694,Febuary
Pork,Deboned,2020,0,Febuary
Pork,Fats,2020,2480416,Febuary
Pork,Offals,2020,5645393,Febuary
Pork,Rind/Skin,2020,1431600,Febuary
Pork,Bellies,2021,2481161,Febuary
Pork,Deboned,2021,0,Febuary
Pork,Fats,2021,4342079,Febuary
Pork,Offals,2021,11279609,Febuary
Pork,Pork Cuts,2021,8028849,Febuary
Pork,Rind/Skin,2021,2451054,Febuary
Pork,Whole Pork,2021,22333,Febuary
Turkey,Deboned,2020,112000,Febuary
Turkey,Offals,2020,0,Febuary
Turkey,Turkey Meat,2020,4000,Febuary
Turkey,Whole Turkey,2020,45000,Febuary
Turkey,Deboned,2021,52773,Febuary
Turkey,Offals,2021,0,Febuary
Turkey,Rind/Skin,2021,25745,Febuary
Turkey,Turkey Meat,2021,0,Febuary
Turkey,Whole Turkey,2021,0,Febuary
Beef,Beef Cuts,2019,6415692,March
Beef,Choice Cuts,2019,978784,March
Beef,Fats,2019,2631089,March
Beef,Offals,2019,1963708,March
Beef,Beef Cuts,2020,7409824,March
Beef,Choice Cuts,2020,2071819,March
Beef,Fats,2020,2053000,March
Beef,Offals,2020,886420,March
Beef,Beef Cuts,2021,8763409,March
Beef,Choice Cuts,2021,849593,March
Beef,Fats,2021,1858591,March
Beef,Offals,2021,2358709,March
Buffalo,Forequarter,2019,2350368,March
Buffalo,Trimmings,2019,643984,March
Buffalo,Rumpsteak,2019,0,March
Buffalo,Knuckles,2019,0,March
Buffalo,Trimmings,2020,589000,March
Buffalo,Forequarters,2020,2800000,March
Buffalo,Buffalo Meat,2020,0,March
Buffalo,Buffalo Meat,2021,32000,March
Buffalo,Forequarter,2021,5139240,March
Buffalo,Trimmings,2021,805008,March
Chicken,Chicken Cuts,2019,1946804,March
Chicken,Chicken Leg Quarter,2019,6235951,March
Chicken,Whole Chicken,2019,24471,March
Chicken,Deboned,2019,18620937,March
Chicken,Fats,2019,439800,March
Chicken,Rind/Skin,2019,163710,March
Chicken,Offals,2019,297884,March
Chicken,Chicken Cuts,2021,2276586,March
Chicken,Chicken Leg Quarter,2021,10142873,March
Chicken,Deboned,2021,19362577,March
Chicken,Fats,2021,634793,March
Chicken,Offals,2021,220787,March
Chicken,Rind/Skin,2021,105273,March
Chicken ,Chicken Cuts,2020,4945702,March
Chicken ,Chicken Leg Quarters,2020,7944986,March
Chicken ,Deboned,2020,18567032,March
Chicken ,Fats,2020,275550,March
Chicken ,Offals,2020,200000,March
Chicken ,Rind/Skin,2020,82800,March
Chicken ,Whole Chicken,2020,140000,March
Duck,Duck Meat,2019,0,March
Duck,Offals,2019,0,March
Duck,Whole Duck,2019,0,March
Duck,Duck Meat,2021,26391,March
Duck,Offals,2021,0,March
Lamb,Lamb Meat,2019,109496,March
Lamb,Fats,2020,525,March
Lamb,Lamb Meat,2020,62375,March
Lamb,Offals,2020,1500,March
Lamb,Lamb Meat,2021,102149,March
Lamb,Offals,2021,71,March
Pork,Bellies,2019,3293542,March
Pork,Pork Cuts,2019,3843177,March
Pork,Deboned,2019,0,March
Pork,Fats,2019,5653064,March
Pork,Rind/Skin,2019,3798532,March
Pork,Offals,2019,16643317,March
Pork,Whole Pork,2019,0,March
Pork,Bellies,2020,1442287,March
Pork,Pork Cuts,2020,1339577,March
Pork,Deboned,2020,0,March
Pork,Fats,2020,2483988,March
Pork,Offals,2020,6552220,March
Pork,Rind/Skin,2020,1515900,March
Pork,Bellies,2021,4879602,March
Pork,Deboned,2021,29527,March
Pork,Fats,2021,5545588,March
Pork,Offals,2021,19181970,March
Pork,Pork Cuts,2021,13617422,March
Pork,Rind/Skin,2021,3677560,March
Pork,Whole Pork,2021,12265,March
Turkey,Deboned,2020,111000,March
Turkey,Offals,2020,0,March
Turkey,Turkey Meat,2020,0,March
Turkey,Whole Turkey,2020,31600,March
Turkey,Deboned,2021,131894,March
Turkey,Offals,2021,0,March
Turkey,Rind/Skin,2021,103163,March
Turkey,Turkey Meat,2021,4000,March
Turkey,Whole Turkey,2021,0,March
Beef,Beef Cuts,2019,5462598,April
Beef,Choice Cuts,2019,1092956,April
Beef,Fats,2019,1972444,April
Beef,Offals,2019,1549505,April
Beef,Beef Cuts,2020,8617087,April
Beef,Choice Cuts,2020,2553349,April
Beef,Fats,2020,2389956,April
Beef,Offals,2020,1395762,April
Beef,Beef Cuts,2021,11918046,April
Beef,Choice Cuts,2021,1237647,April
Beef,Fats,2021,1789013,April
Beef,Offals,2021,2010682,April
Buffalo,Forequarter,2019,3219376,April
Buffalo,Trimmings,2019,729364,April
Buffalo,Rumpsteak,2019,0,April
Buffalo,Knuckles,2019,0,April
Buffalo,Trimmings,2020,266000,April
Buffalo,Forequarters,2020,1832000,April
Buffalo,Buffalo Meat,2020,3000,April
Buffalo,Buffalo Meat,2021,7680,April
Buffalo,Forequarter,2021,2963820,April
Buffalo,Trimmings,2021,569320,April
Chicken,Chicken Cuts,2019,1258743,April
Chicken,Chicken Leg Quarter,2019,2353156,April
Chicken,Whole Chicken,2019,46827,April
Chicken,Deboned,2019,13517252,April
Chicken,Fats,2019,397600,April
Chicken,Rind/Skin,2019,27000,April
Chicken,Offals,2019,94153,April
Chicken,Chicken Cuts,2021,4456407,April
Chicken,Chicken Leg Quarter,2021,10929675,April
Chicken,Deboned,2021,17604399,April
Chicken,Fats,2021,548146,April
Chicken,Offals,2021,173848,April
Chicken,Rind/Skin,2021,413312,April
Chicken ,Chicken Cuts,2020,4739659,April
Chicken ,Chicken Leg Quarters,2020,4351968,April
Chicken ,Deboned,2020,21444395,April
Chicken ,Fats,2020,270000,April
Chicken ,Offals,2020,138000,April
Chicken ,Rind/Skin,2020,0,April
Chicken ,Whole Chicken,2020,0,April
Duck,Duck Meat,2019,2000,April
Duck,Offals,2019,1541,April
Duck,Whole Duck,2019,0,April
Duck,Duck Meat,2021,0,April
Duck,Offals,2021,0,April
Lamb,Lamb Meat,2019,48024,April
Lamb,Fats,2020,0,April
Lamb,Lamb Meat,2020,153260,April
Lamb,Offals,2020,0,April
Lamb,Lamb Meat,2021,50518,April
Lamb,Offals,2021,0,April
Pork,Bellies,2019,3049767,April
Pork,Pork Cuts,2019,2868456,April
Pork,Deboned,2019,0,April
Pork,Fats,2019,6245893,April
Pork,Rind/Skin,2019,1916131,April
Pork,Offals,2019,13467548,April
Pork,Whole Pork,2019,0,April
Pork,Bellies,2020,2413503,April
Pork,Pork Cuts,2020,2403421,April
Pork,Deboned,2020,0,April
Pork,Fats,2020,3016176,April
Pork,Offals,2020,8802959,April
Pork,Rind/Skin,2020,1979650,April
Pork,Bellies,2021,5242033,April
Pork,Deboned,2021,63924,April
Pork,Fats,2021,6656266,April
Pork,Offals,2021,18632258,April
Pork,Pork Cuts,2021,19071948,April
Pork,Rind/Skin,2021,3301294,April
Pork,Whole Pork,2021,0,April
Turkey,Deboned,2020,56000,April
Turkey,Offals,2020,2400,April
Turkey,Turkey Meat,2020,36068,April
Turkey,Whole Turkey,2020,30200,April
Turkey,Deboned,2021,211167,April
Turkey,Offals,2021,0,April
Turkey,Rind/Skin,2021,51588,April
Turkey,Turkey Meat,2021,0,April
Turkey,Whole Turkey,2021,0,April
Beef,Beef Cuts,2019,10214924,May
Beef,Choice Cuts,2019,2007914,May
Beef,Fats,2019,2064512,May
Beef,Offals,2019,1634327,May
Beef,Beef Cuts,2020,11472447,May
Beef,Choice Cuts,2020,2816356,May
Beef,Fats,2020,3247500,May
Beef,Offals,2020,1777579,May
Beef,Beef Cuts,2021,10020027,May
Beef,Choice Cuts,2021,1124946,May
Beef,Fats,2021,2540153,May
Beef,Offals,2021,2638294,May
Buffalo,Forequarter,2019,2690640,May
Buffalo,Trimmings,2019,503952,May
Buffalo,Rumpsteak,2019,0,May
Buffalo,Knuckles,2019,0,May
Buffalo,Trimmings,2020,112000,May
Buffalo,Forequarters,2020,1008000,May
Buffalo,Buffalo Meat,2020,0,May
Buffalo,Buffalo Meat,2021,1181952,May
Buffalo,Forequarter,2021,2262000,May
Buffalo,Trimmings,2021,784000,May
Chicken,Chicken Cuts,2019,1732869,May
Chicken,Chicken Leg Quarter,2019,2952530,May
Chicken,Whole Chicken,2019,,May
Chicken,Deboned,2019,14232813,May
Chicken,Fats,2019,319800,May
Chicken,Rind/Skin,2019,391160,May
Chicken,Offals,2019,159846,May
Chicken,Chicken Cuts,2021,4537391,May
Chicken,Chicken Leg Quarter,2021,15583599,May
Chicken,Deboned,2021,17612330,May
Chicken,Fats,2021,538440,May
Chicken,Offals,2021,241000,May
Chicken,Rind/Skin,2021,296896,May
Chicken ,Chicken Cuts,2020,4245626,May
Chicken ,Chicken Leg Quarters,2020,5047101,May
Chicken ,Deboned,2020,23605396,May
Chicken ,Fats,2020,459000,May
Chicken ,Offals,2020,146000,May
Chicken ,Rind/Skin,2020,50500,May
Chicken ,Whole Chicken,2020,0,May
Duck,Duck Meat,2019,22966,May
Duck,Offals,2019,0,May
Duck,Whole Duck,2019,0,May
Duck,Duck Meat,2021,1000,May
Duck,Offals,2021,0,May
Lamb,Lamb Meat,2019,56031,May
Lamb,Fats,2020,0,May
Lamb,Lamb Meat,2020,382000,May
Lamb,Offals,2020,0,May
Lamb,Lamb Meat,2021,49366,May
Lamb,Offals,2021,0,May
Pork,Bellies,2019,3567693,May
Pork,Pork Cuts,2019,4008610,May
Pork,Deboned,2019,0,May
Pork,Fats,2019,5422292,May
Pork,Rind/Skin,2019,2316593,May
Pork,Offals,2019,14826199,May
Pork,Whole Pork,2019,500,May
Pork,Bellies,2020,3322600,May
Pork,Pork Cuts,2020,4104147,May
Pork,Deboned,2020,0,May
Pork,Fats,2020,4233434,May
Pork,Offals,2020,10736348,May
Pork,Rind/Skin,2020,2464040,May
Pork,Bellies,2021,5042267,May
Pork,Deboned,2021,40173,May
Pork,Fats,2021,5193293,May
Pork,Offals,2021,17068414,May
Pork,Pork Cuts,2021,30823810,May
Pork,Rind/Skin,2021,3230432,May
Pork,Whole Pork,2021,20580,May
Turkey,Deboned,2020,108000,May
Turkey,Offals,2020,0,May
Turkey,Turkey Meat,2020,0,May
Turkey,Whole Turkey,2020,0,May
Turkey,Deboned,2021,0,May
Turkey,Offals,2021,3000,May
Turkey,Rind/Skin,2021,25000,May
Turkey,Turkey Meat,2021,51877,May
Turkey,Whole Turkey,2021,0,May
Beef,Beef Cuts,2019,5466876,June
Beef,Choice Cuts,2019,666748,June
Beef,Fats,2019,2152861,June
Beef,Offals,2019,1051240,June
Beef,Beef Cuts,2020,8777955,June
Beef,Choice Cuts,2020,2493843,June
Beef,Fats,2020,3497553,June
Beef,Offals,2020,1061631,June
Beef,Beef Cuts,2021,10778199,June
Beef,Choice Cuts,2021,1274850,June
Beef,Fats,2021,2358107,June
Beef,Offals,2021,2221134,June
Buffalo,Forequarter,2019,1623777,June
Buffalo,Trimmings,2019,500398,June
Buffalo,Rumpsteak,2019,0,June
Buffalo,Knuckles,2019,0,June
Buffalo,Trimmings,2020,98000,June
Buffalo,Forequarters,2020,434000,June
Buffalo,Buffalo Meat,2020,0,June
Buffalo,Buffalo Meat,2021,1344500,June
Buffalo,Forequarter,2021,5012000,June
Buffalo,Trimmings,2021,1232000,June
Chicken,Chicken Cuts,2019,1645179,June
